transcript	zeroOne	annot.x	pident.x	length.x	mismatch.x	gapopen.x	qstart.x	qend.x	sstart.x	send.x	evalue.x	bitscore.x	annot.y	pident.y	length.y	mismatch.y	gapopen.y	qstart.y	qend.y	sstart.y	send.y	evalue.y	bitscore.y
TRINITY_GG_10015_c24_g1_i1.p1	1	sp|P25157|GNAL_DROME	65.4	240	81	2	12	250	100	338	1.32E-102	309	sp|P25157|GNAL_DROME	65.4	240	81	2	100	338	12	250	7.54E-103	306
TRINITY_GG_10015_c24_g2_i1.p1	1	sp|Q02366|NDUA6_BOVIN	54.5	121	55	0	4	124	7	127	9.03E-44	142	sp|Q02366|NDUA6_BOVIN	54.5	121	55	0	7	127	4	124	2.20E-44	140
TRINITY_GG_10015_c25_g1_i2.p1	1	sp|Q8BI36|JKAMP_MOUSE	48.2	313	146	6	9	312	1	306	1.06E-90	275	sp|Q8BI36|JKAMP_MOUSE	48.4	310	144	5	1	303	9	309	9.50E-94	280
TRINITY_GG_10015_c26_g1_i1.p2	1	sp|P12297|SUWA_DROME	50.8	254	115	5	25	269	59	311	1.41E-62	215	sp|P12297|SUWA_DROME	49.6	266	124	6	47	311	13	269	1.83E-62	213
TRINITY_GG_10015_c30_g1_i2.p1	1	sp|Q61471|TOB1_MOUSE	39.2	332	91	6	132	454	1	230	1.38E-60	210	sp|Q61471|TOB1_MOUSE	40.6	325	83	7	1	224	132	447	6.00E-60	204
TRINITY_GG_10015_c31_g1_i3.p1	1	sp|Q5PSV9|MDC1_MOUSE	34.8	253	156	4	1533	1785	1457	1700	2.40E-32	142	sp|Q5PSV9|MDC1_MOUSE	34.4	256	159	4	1454	1700	1530	1785	9.48E-34	142
TRINITY_GG_10018_c2_g1_i1.p1	1	sp|Q8SWU7|OLA1_DROME	75.6	397	97	0	1	397	1	397	4.33E-231	638	sp|Q8SWU7|OLA1_DROME	75.6	397	97	0	1	397	1	397	4.20E-231	635
TRINITY_GG_10021_c1_g2_i1.p2	1	sp|P0CG40|SP9_HUMAN	53.7	227	77	4	7	227	164	368	1.54E-48	172	sp|P0CG40|SP9_HUMAN	59.3	295	92	4	164	436	7	295	2.29E-51	177
TRINITY_GG_10024_c5_g1_i1.p1	1	sp|P48814|ADH1_CERCA	38.8	242	143	3	7	247	5	242	1.93E-45	156	sp|P48814|ADH1_CERCA	38.8	242	143	3	5	242	7	247	1.11E-49	163
TRINITY_GG_10027_c24_g1_i3.p1	1	sp|Q9VSA3|ACADM_DROME	76	412	96	1	8	416	4	415	3.41E-230	638	sp|Q9VSA3|ACADM_DROME	77.1	406	90	1	10	415	14	416	8.94E-235	646
TRINITY_GG_10037_c7_g1_i2.p1	1	sp|Q9ULJ6|ZMIZ1_HUMAN	52.6	620	215	15	72	672	506	1065	5.31E-179	540	sp|Q9ULJ6|ZMIZ1_HUMAN	52.7	621	213	16	506	1065	72	672	3.11E-174	525
TRINITY_GG_10043_c14_g1_i2.p1	1	sp|Q0VBY7|DJC24_BOVIN	36.6	131	74	3	2	124	11	140	1.34E-21	87	sp|Q0VBY7|DJC24_BOVIN	36.6	131	74	3	11	140	2	124	1.56E-23	88.6
TRINITY_GG_10043_c15_g1_i1.p1	1	sp|O60678|ANM3_HUMAN	40.1	531	293	6	6	533	20	528	8.68E-134	402	sp|O60678|ANM3_HUMAN	40.8	522	284	6	20	519	6	524	1.11E-136	405
TRINITY_GG_10043_c19_g2_i12.p1	1	sp|Q9VUF8|CP314_DROME	43.1	357	191	7	38	387	55	406	4.17E-90	284	sp|Q9VUF8|CP314_DROME	43.1	357	191	7	55	406	38	387	1.33E-90	282
TRINITY_GG_10043_c20_g1_i1.p1	1	sp|Q99LH1|NOG2_MOUSE	65	460	156	4	16	473	12	468	1.01E-208	607	sp|Q99LH1|NOG2_MOUSE	65	460	156	4	12	468	16	473	2.47E-206	598
TRINITY_GG_10045_c10_g1_i1.p1	1	sp|Q94516|AT5F1_DROME	59.8	249	88	2	1	249	1	237	6.81E-95	281	sp|Q94516|AT5F1_DROME	59.8	249	88	2	1	237	1	249	1.43E-98	287
TRINITY_GG_10045_c36_g1_i2.p1	1	sp|Q16QL3|COQ2_AEDAE	65.1	252	88	0	2	253	152	403	1.79E-124	364	sp|Q16QL3|COQ2_AEDAE	64.3	258	92	0	152	409	2	259	9.03E-128	370
TRINITY_GG_10045_c40_g1_i4.p1	1	sp|A4FV45|TM214_BOVIN	28.9	592	377	14	3	570	9	580	2.83E-58	212	sp|A4FV45|TM214_BOVIN	28.9	596	368	15	9	578	3	568	7.88E-64	223
TRINITY_GG_10045_c42_g1_i1.p1	1	sp|Q92994|TF3B_HUMAN	49.4	557	242	9	1	526	1	548	2.66E-154	464	sp|Q92994|TF3B_HUMAN	48.3	567	253	9	1	558	1	536	1.77E-154	461
TRINITY_GG_10045_c43_g1_i2.p1	1	sp|Q5RAT7|ARFG2_PONAB	42	564	262	14	6	553	5	519	3.15E-112	347	sp|Q5RAT7|ARFG2_PONAB	42.2	562	264	14	5	519	6	553	8.86E-117	355
TRINITY_GG_10045_c46_g1_i3.p1	1	sp|Q92161|CCNA1_CARAU	48.9	176	79	2	8	183	220	384	2.03E-49	167	sp|Q92161|CCNA1_CARAU	49.7	171	75	2	225	384	13	183	1.89E-49	164
TRINITY_GG_10045_c47_g1_i6.p1	1	sp|Q8N7H5|PAF1_HUMAN	63	373	133	4	1	369	1	372	2.49E-153	452	sp|Q8N7H5|PAF1_HUMAN	63	373	133	4	1	372	1	369	2.15E-156	457
TRINITY_GG_10045_c47_g1_i6.p3	1	sp|Q17D30|EIF3M_AEDAE	68.9	383	114	3	6	385	6	386	6.65E-185	520	sp|Q17D30|EIF3M_AEDAE	68.9	383	114	3	6	386	6	385	9.13E-185	516
TRINITY_GG_10045_c47_g1_i6.p4	1	sp|Q2KHU3|EXOS8_BOVIN	45.2	272	148	1	15	285	1	272	6.95E-87	264	sp|Q2KHU3|EXOS8_BOVIN	45.2	272	148	1	1	272	15	285	1.64E-89	267
TRINITY_GG_10045_c48_g1_i1.p1	1	sp|Q27607|DPOG1_DROME	49.6	1122	476	22	114	1182	48	1132	0	1010	sp|Q27607|DPOG1_DROME	49.8	1123	472	24	48	1132	114	1182	0	1010
TRINITY_GG_10045_c48_g1_i1.p2	1	sp|Q8IQ13|EIF1A_DROME	46.7	135	63	2	3	129	7	140	2.33E-37	128	sp|Q8IQ13|EIF1A_DROME	46.7	135	63	2	7	140	3	129	5.50E-38	126
TRINITY_GG_10046_c3_g1_i1.p1	1	sp|Q5EAR6|CC115_DANRE	34.9	195	112	4	10	195	7	195	5.64E-17	78.6	sp|Q5EAR6|CC115_DANRE	34.9	192	110	4	7	192	10	192	7.01E-16	72
TRINITY_GG_10047_c0_g1_i1.p1	1	sp|Q5EB97|ZCH10_RAT	66	47	16	0	19	65	20	66	1.57E-16	73.6	sp|Q5EB97|ZCH10_RAT	66	47	16	0	20	66	19	65	5.95E-17	71.6
TRINITY_GG_10047_c1_g1_i5.p1	1	sp|Q9WVG9|MS3L1_MOUSE	39.1	299	176	2	1	299	1	293	7.02E-54	188	sp|Q9WVG9|MS3L1_MOUSE	39.1	299	176	2	1	293	1	299	2.23E-54	186
TRINITY_GG_10066_c5_g1_i2.p1	1	sp|B4LZ88|NCB2B_DROVI	83	147	25	0	5	151	1	147	9.74E-93	268	sp|B4LZ88|NCB2B_DROVI	83	147	25	0	1	147	5	151	2.23E-93	266
TRINITY_GG_10066_c6_g1_i1.p1	1	sp|A8JQ65|DGKH_DROME	43.6	1882	651	54	29	1549	61	1893	0	1261	sp|A8JQ65|DGKH_DROME	43.4	1891	660	52	52	1893	20	1549	0	1287
TRINITY_GG_10068_c12_g1_i1.p1	1	sp|P51842|GUC2F_RAT	57	530	219	5	794	1315	564	1092	1.32E-184	586	sp|P51842|GUC2F_RAT	47.4	707	297	11	437	1086	621	1309	2.55E-187	589
TRINITY_GG_10069_c3_g1_i2.p1	1	sp|P11450|FCP3C_DROME	49.6	129	57	3	73	198	159	282	1.64E-42	147	sp|P11450|FCP3C_DROME	50	128	56	3	159	281	73	197	3.32E-41	140
TRINITY_GG_10075_c11_g1_i2.p1	1	sp|B4F6W9|TRIPC_XENTR	53.7	1904	671	29	547	2439	353	2056	0	1800	sp|B4F6W9|TRIPC_XENTR	53.5	1907	669	27	353	2056	547	2439	0	1803
TRINITY_GG_10075_c9_g1_i1.p1	1	sp|Q568J8|TM256_DANRE	49.1	108	53	1	61	166	7	114	1.49E-30	110	sp|Q568J8|TM256_DANRE	49.1	108	53	1	7	114	61	166	6.81E-31	107
TRINITY_GG_10076_c19_g1_i1.p1	1	sp|Q9R087|GPC6_MOUSE	45.2	484	251	5	39	511	15	495	1.83E-135	409	sp|Q9R087|GPC6_MOUSE	45.2	487	253	5	12	495	36	511	1.22E-140	419
TRINITY_GG_10076_c20_g1_i4.p1	1	sp|Q8NI08|NCOA7_HUMAN	27.3	979	556	23	204	1179	116	941	5.20E-88	309	sp|Q8NI08|NCOA7_HUMAN	27.6	982	555	24	113	941	201	1179	1.87E-87	303
TRINITY_GG_10078_c10_g1_i1.p1	1	sp|Q8QG61|CRY1_CHICK	74.2	508	129	2	19	525	4	510	1.08E-294	816	sp|Q8QG61|CRY1_CHICK	74.2	508	129	2	4	510	19	525	8.38E-297	818
TRINITY_GG_10078_c12_g1_i3.p1	1	sp|Q9EQN9|S19A2_MOUSE	40.9	181	103	1	8	188	280	456	8.80E-44	155	sp|Q9EQN9|S19A2_MOUSE	41.5	176	99	1	280	451	8	183	1.88E-43	151
TRINITY_GG_10078_c13_g1_i1.p1	1	sp|E7FAP1|RN169_DANRE	27.3	344	190	8	20	325	29	350	8.42E-28	122	sp|E7FAP1|RN169_DANRE	27.5	346	187	9	29	350	20	325	6.24E-30	124
TRINITY_GG_10080_c1_g1_i1.p1	1	sp|Q5HZI9|S2551_MOUSE	45.5	268	141	3	52	315	32	298	7.81E-86	263	sp|Q5HZI9|S2551_MOUSE	45.5	268	141	3	32	298	52	315	1.12E-84	256
TRINITY_GG_10080_c1_g1_i1.p2	1	sp|Q99470|SDF2_HUMAN	68.3	101	32	0	34	134	24	124	1.56E-46	152	sp|Q99470|SDF2_HUMAN	68.3	101	32	0	24	124	34	134	3.91E-47	151
TRINITY_GG_10084_c0_g1_i1.p1	1	sp|Q9V6G5|TAZ_DROME	57.2	257	110	0	1	257	118	374	1.20E-112	332	sp|Q9V6G5|TAZ_DROME	57.2	257	110	0	118	374	1	257	7.13E-114	332
TRINITY_GG_10087_c11_g1_i1.p1	1	sp|Q7SXZ1|PIGB_DANRE	40.9	501	268	8	5	499	46	524	2.04E-114	351	sp|Q7SXZ1|PIGB_DANRE	41.1	501	267	8	46	524	5	499	2.44E-112	342
TRINITY_GG_10088_c0_g1_i2.p1	1	sp|P61375|LHX5_MOUSE	50.1	355	87	6	1	353	1	267	1.24E-102	318	sp|P61375|LHX5_MOUSE	46.3	417	130	8	1	333	1	407	2.33E-102	313
TRINITY_GG_101_c6_g1_i1.p1	1	sp|Q3U1T9|DEN1B_MOUSE	41.3	455	247	8	1	441	1	449	1.92E-104	333	sp|Q3U1T9|DEN1B_MOUSE	41.3	455	247	8	1	449	1	441	9.49E-104	328
TRINITY_GG_10102_c13_g1_i1.p1	1	sp|O59028|MDH_PYRHO	38.7	351	207	5	52	399	13	358	8.77E-77	245	sp|O59028|MDH_PYRHO	38.5	353	209	5	13	360	52	401	3.56E-77	242
TRINITY_GG_10102_c14_g1_i1.p1	1	sp|Q66I46|MKNK2_XENTR	53.4	431	149	6	57	484	78	459	4.32E-157	457	sp|Q66I46|MKNK2_XENTR	62.5	339	115	3	78	407	57	392	8.93E-156	450
TRINITY_GG_10103_c10_g1_i1.p1	1	sp|A1Z6S7|GDS1_DROME	36.4	632	348	10	8	594	4	626	1.16E-108	343	sp|A1Z6S7|GDS1_DROME	36.6	632	347	10	4	626	8	594	4.14E-108	338
TRINITY_GG_10103_c11_g1_i2.p2	1	sp|O01377|PCNA_BOMMO	82.7	260	45	0	1	260	1	260	3.85E-154	432	sp|O01377|PCNA_BOMMO	82.7	260	45	0	1	260	1	260	7.88E-156	433
TRINITY_GG_10103_c7_g1_i2.p1	1	sp|P48597|IF4E_XENLA	60.7	183	72	0	29	211	31	213	1.13E-85	255	sp|P48597|IF4E_XENLA	60.7	183	72	0	31	213	29	211	4.70E-87	255
TRINITY_GG_10103_c9_g1_i1.p1	1	sp|A6QNT8|SC24A_BOVIN	59	768	307	3	534	1300	337	1097	2.98E-305	917	sp|A6QNT8|SC24A_BOVIN	59	768	307	3	337	1097	534	1300	2.97E-305	909
TRINITY_GG_10107_c5_g1_i5.p1	1	sp|Q8R5F3|OARD1_MOUSE	54	137	63	0	322	458	14	150	1.34E-43	156	sp|Q8R5F3|OARD1_MOUSE	54	137	63	0	14	150	322	458	3.30E-44	152
TRINITY_GG_10108_c66_g1_i3.p1	1	sp|O14733|MP2K7_HUMAN	62.2	405	133	3	2	391	3	402	5.95E-167	481	sp|O14733|MP2K7_HUMAN	62.2	405	133	3	3	402	2	391	2.07E-168	481
TRINITY_GG_10108_c68_g2_i1.p1	1	sp|Q9VV87|ELOV6_DROME	67.4	282	91	1	9	289	10	291	4.44E-146	415	sp|Q9VV87|ELOV6_DROME	72.5	258	70	1	10	267	9	265	9.93E-148	416
TRINITY_GG_10108_c70_g2_i2.p2	1	sp|Q5I047|ACKMT_XENLA	58.3	175	73	0	16	190	27	201	1.01E-67	209	sp|Q5I047|ACKMT_XENLA	58.3	175	73	0	27	201	16	190	3.77E-68	207
TRINITY_GG_10108_c75_g1_i1.p1	1	sp|Q6MG08|ABCF1_RAT	65.6	596	198	3	340	935	247	835	6.41E-263	758	sp|Q6MG08|ABCF1_RAT	65.8	597	195	4	247	835	340	935	9.42E-264	757
TRINITY_GG_10108_c76_g2_i1.p1	1	sp|A1ZA47|ZASP_DROME	55.5	371	138	7	3	353	5	368	1.18E-110	360	sp|A1ZA47|ZASP_DROME	55.3	371	139	7	5	368	3	353	7.31E-114	368
TRINITY_GG_10108_c76_g3_i1.p1	1	sp|P21522|ROA1_SCHAM	83.8	191	31	0	1	191	1	191	3.74E-114	337	sp|P21522|ROA1_SCHAM	83.8	191	31	0	1	191	1	191	2.01E-116	339
TRINITY_GG_10108_c76_g3_i1.p4	1	sp|P83916|CBX1_HUMAN	64.8	159	53	1	25	180	21	179	1.33E-62	194	sp|P83916|CBX1_HUMAN	64.8	159	53	1	21	179	25	180	5.08E-62	189
TRINITY_GG_10108_c81_g1_i1.p1	1	sp|P42700|RO60_XENLA	31.4	528	321	11	9	521	33	534	4.37E-77	255	sp|P42700|RO60_XENLA	31.7	530	317	12	33	534	9	521	6.10E-75	246
TRINITY_GG_10108_c81_g1_i1.p3	1	sp|Q4V7W8|ETKMT_XENLA	43.8	210	111	4	40	242	36	245	2.09E-56	183	sp|Q4V7W8|ETKMT_XENLA	43.8	210	111	4	36	245	40	242	6.19E-58	183
TRINITY_GG_10108_c82_g1_i2.p1	1	sp|Q9NRR4|RNC_HUMAN	55	1014	412	13	429	1417	357	1351	0	1095	sp|Q9NRR4|RNC_HUMAN	57.6	942	383	8	409	1344	479	1410	0	1106
TRINITY_GG_1011_c4_g1_i1.p1	1	sp|D2WKD9|SDR1_AEDAE	51.9	258	106	6	1	253	1	245	9.67E-76	233	sp|D2WKD9|SDR1_AEDAE	51.9	258	106	6	1	245	1	253	7.76E-77	232
TRINITY_GG_10111_c1_g1_i3.p1	1	sp|P22468|GDL_DROME	46	124	67	0	8	131	25	148	5.52E-28	105	sp|P22468|GDL_DROME	46	124	67	0	25	148	8	131	1.82E-30	108
TRINITY_GG_10114_c1_g2_i2.p2	1	sp|Q96IU4|ABHEB_HUMAN	43.5	209	106	5	29	231	5	207	9.51E-47	157	sp|Q96IU4|ABHEB_HUMAN	43.5	209	106	5	5	207	29	231	5.61E-47	154
TRINITY_GG_10126_c1_g1_i1.p1	1	sp|Q6KCD5|NIPBL_MOUSE	48.9	1594	683	18	543	2108	1140	2630	0	1376	sp|Q6KCD5|NIPBL_MOUSE	49.6	1556	670	16	1181	2641	583	2118	0	1382
TRINITY_GG_10130_c7_g1_i1.p1	1	sp|Q961D9|BCL9_DROME	30.2	675	320	22	197	826	316	884	2.42E-34	148	sp|Q961D9|BCL9_DROME	29.9	685	335	23	316	897	197	839	1.95E-43	173
TRINITY_GG_10144_c2_g1_i1.p1	1	sp|O93603|TRHR_CHICK	41.4	292	144	7	17	289	10	293	5.31E-58	193	sp|O93603|TRHR_CHICK	40.4	292	147	5	10	293	17	289	9.94E-53	176
TRINITY_GG_10145_c6_g1_i1.p1	1	sp|P49870|HR38_BOMMO	75.5	343	84	0	413	755	18	360	2.25E-182	527	sp|P49870|HR38_BOMMO	75.5	343	84	0	18	360	413	755	9.31E-181	519
TRINITY_GG_10145_c8_g1_i2.p1	1	sp|Q14974|IMB1_HUMAN	70.6	874	255	2	7	879	1	873	0	1202	sp|Q14974|IMB1_HUMAN	70.7	873	254	2	2	873	8	879	0	1207
TRINITY_GG_10145_c8_g1_i2.p2	1	sp|Q9VIK2|CART_DROME	63.1	553	198	4	65	613	30	580	3.89E-253	716	sp|Q9VIK2|CART_DROME	63.1	553	198	4	30	580	65	613	8.25E-260	729
TRINITY_GG_10156_c0_g2_i1.p1	1	sp|Q9D6T1|TBE_MOUSE	41.8	483	240	6	1	454	1	471	3.91E-127	380	sp|Q9D6T1|TBE_MOUSE	41.8	483	240	6	1	471	1	454	2.45E-125	372
TRINITY_GG_10165_c0_g1_i1.p1	1	sp|Q8MZC4|CRLS1_DROME	50.6	235	110	2	118	346	87	321	9.08E-72	229	sp|Q8MZC4|CRLS1_DROME	50.6	235	110	2	87	321	118	346	3.05E-77	239
TRINITY_GG_10168_c39_g1_i4.p1	1	sp|Q9I7M2|GTPBA_DROME	53.5	172	80	0	16	187	17	188	4.00E-55	182	sp|Q9I7M2|GTPBA_DROME	53.5	172	80	0	17	188	16	187	1.49E-57	185
TRINITY_GG_10168_c41_g1_i2.p1	1	sp|O14530|TXND9_HUMAN	52.8	214	98	2	6	216	12	225	4.81E-76	231	sp|O14530|TXND9_HUMAN	51.6	219	103	2	7	225	1	216	1.00E-77	232
TRINITY_GG_10168_c42_g1_i1.p1	1	sp|Q9VWK6|PGP2L_DROME	54.1	244	110	1	8	249	65	308	2.92E-87	265	sp|Q9VWK6|PGP2L_DROME	55.7	237	103	1	66	302	9	243	1.24E-84	255
TRINITY_GG_10168_c43_g1_i4.p1	1	sp|Q9V831|APC10_DROME	71.6	176	50	0	10	185	20	195	3.91E-94	275	sp|Q9V831|APC10_DROME	71.6	176	50	0	20	195	10	185	3.42E-95	274
TRINITY_GG_10168_c43_g1_i4.p2	1	sp|Q6IQE9|ALKB6_DANRE	63.8	105	37	1	1	105	9	112	1.02E-45	150	sp|Q6IQE9|ALKB6_DANRE	63.8	105	37	1	9	112	1	105	5.16E-46	148
TRINITY_GG_10168_c47_g1_i3.p1	1	sp|Q9BVK2|ALG8_HUMAN	61.3	292	108	1	9	300	21	307	1.25E-126	374	sp|Q9BVK2|ALG8_HUMAN	61.3	292	108	1	21	307	9	300	2.91E-126	370
TRINITY_GG_10168_c48_g1_i13.p1	1	sp|Q9VF87|CYFIP_DROME	82.1	1288	227	3	3	1287	2	1289	0	2164	sp|Q9VF87|CYFIP_DROME	82.1	1288	227	3	2	1289	3	1287	0	2165
TRINITY_GG_10168_c48_g1_i13.p2	1	sp|Q0IF90|WDR55_AEDAE	42.3	234	135	0	9	242	225	458	3.77E-60	199	sp|Q0IF90|WDR55_AEDAE	42.1	235	136	0	225	459	9	243	2.99E-61	199
TRINITY_GG_10168_c49_g1_i2.p1	1	sp|A1SWP5|MOAC_PSYIN	57.6	151	64	0	59	209	6	156	1.97E-48	159	sp|A1SWP5|MOAC_PSYIN	57.6	151	64	0	6	156	59	209	1.13E-52	166
TRINITY_GG_10168_c49_g1_i2.p2	1	sp|Q8IQF1|MOCS1_DROME	71.4	161	44	1	37	197	55	213	3.29E-73	234	sp|Q8IQF1|MOCS1_DROME	71.4	161	44	1	55	213	37	197	7.51E-74	233
TRINITY_GG_10168_c50_g1_i1.p1	1	sp|Q15269|PWP2_HUMAN	52.3	671	304	4	1	671	1	655	4.12E-227	661	sp|Q15269|PWP2_HUMAN	52.2	671	305	4	1	655	1	671	2.13E-231	669
TRINITY_GG_10168_c51_g1_i3.p1	1	sp|Q5ZL91|INT7_CHICK	38	773	439	16	2	750	176	932	4.48E-141	442	sp|Q5ZL91|INT7_CHICK	37.9	773	442	15	175	932	1	750	1.87E-140	437
TRINITY_GG_10168_c51_g1_i3.p2	1	sp|Q8R0K9|E2F4_MOUSE	45.6	406	157	6	7	359	16	410	1.74E-96	295	sp|Q8R0K9|E2F4_MOUSE	45.6	406	157	6	16	410	7	359	1.64E-97	295
TRINITY_GG_10168_c52_g1_i5.p1	1	sp|Q24325|TAF2_DROME	68.4	988	301	5	15	996	13	995	0	1392	sp|Q24325|TAF2_DROME	68.4	985	306	4	13	995	15	996	0	1385
TRINITY_GG_10176_c11_g1_i1.p1	1	sp|Q9W3Y4|GA2PE_DROME	52.3	365	137	4	16	343	5	369	3.94E-110	364	sp|Q9W3Y4|GA2PE_DROME	49.3	406	160	5	5	410	16	375	1.77E-113	369
TRINITY_GG_10176_c8_g1_i1.p1	1	sp|Q9VX98|DENR_DROME	73.2	183	48	1	1	182	6	188	5.46E-85	251	sp|Q9VX98|DENR_DROME	73.2	183	48	1	6	188	1	182	8.16E-87	252
TRINITY_GG_10176_c8_g1_i1.p2	1	sp|O75575|RPC9_HUMAN	43.8	128	61	2	1	117	1	128	4.67E-28	103	sp|O75575|RPC9_HUMAN	43.8	128	61	2	1	128	1	117	6.05E-29	102
TRINITY_GG_10176_c9_g1_i3.p1	1	sp|P12613|TCPA_DROME	81.5	556	103	0	1	556	1	556	0	882	sp|P12613|TCPA_DROME	81.5	556	103	0	1	556	1	556	0	881
TRINITY_GG_10176_c9_g1_i3.p2	1	sp|Q99L90|MCRS1_MOUSE	57.9	475	172	6	3	469	8	462	1.40E-176	506	sp|Q99L90|MCRS1_MOUSE	59.5	449	157	5	31	462	29	469	2.47E-174	496
TRINITY_GG_10177_c1_g1_i2.p1	1	sp|Q7PYQ5|FAM50_ANOGA	77.1	358	75	1	1	351	1	358	1.82E-164	466	sp|Q7PYQ5|FAM50_ANOGA	77.1	358	75	1	1	358	1	351	6.26E-165	464
TRINITY_GG_10181_c25_g1_i2.p1	1	sp|Q02338|BDH_HUMAN	44.9	294	155	4	72	361	52	342	8.17E-87	268	sp|Q02338|BDH_HUMAN	44.9	294	155	4	52	342	72	361	4.10E-86	263
TRINITY_GG_10181_c28_g1_i1.p1	1	sp|Q5R8H3|BAP31_PONAB	50	122	61	0	1	122	1	122	2.24E-30	115	sp|Q5R8H3|BAP31_PONAB	50	122	61	0	1	122	1	122	1.37E-31	115
TRINITY_GG_10181_c32_g1_i1.p1	1	sp|P32865|GPRK1_DROME	82.2	681	117	1	1	677	1	681	0	1157	sp|P32865|GPRK1_DROME	82.2	681	117	1	1	681	1	677	0	1162
TRINITY_GG_10181_c34_g1_i1.p1	1	sp|Q28IN9|PKRI1_XENTR	63.3	109	40	0	28	136	21	129	8.67E-37	130	sp|Q28IN9|PKRI1_XENTR	63.3	109	40	0	21	129	28	136	3.65E-38	130
TRINITY_GG_10181_c37_g1_i1.p1	1	sp|Q1JP61|KDM8_BOVIN	38.6	420	194	7	56	474	50	406	3.94E-87	275	sp|Q1JP61|KDM8_BOVIN	39.2	421	188	9	50	405	56	473	3.17E-90	280
TRINITY_GG_10181_c38_g1_i2.p1	1	sp|Q7KTX8|MED13_DROME	38.5	1770	737	49	35	1518	914	2617	2.76E-305	960	sp|Q7KTX8|MED13_DROME	38.2	1775	735	48	914	2617	35	1518	0	996
TRINITY_GG_10181_c41_g1_i3.p1	1	sp|Q5SYL3|K0100_MOUSE	38.9	1576	796	35	980	2499	752	2216	3.98E-305	983	sp|Q5SYL3|K0100_MOUSE	39.1	1580	787	38	752	2216	980	2499	9.70E-305	994
TRINITY_GG_10182_c14_g1_i2.p1	1	sp|Q92616|GCN1_HUMAN	56.8	1842	746	15	7	1842	873	2671	0	1910	sp|Q92616|GCN1_HUMAN	56.9	1846	745	16	870	2670	2	1841	0	1920
TRINITY_GG_10182_c15_g1_i1.p1	1	sp|Q9H2I8|LRMDA_HUMAN	48	175	89	1	4	178	26	198	2.56E-45	150	sp|Q9H2I8|LRMDA_HUMAN	48	175	89	1	26	198	4	178	1.02E-47	153
TRINITY_GG_10194_c10_g1_i1.p1	1	sp|Q62186|SSRD_MOUSE	43.1	153	87	0	17	169	20	172	6.90E-45	148	sp|Q62186|SSRD_MOUSE	43.1	153	87	0	20	172	17	169	2.89E-46	148
TRINITY_GG_10194_c13_g1_i1.p1	1	sp|Q9Z2Q5|RM40_MOUSE	42.8	159	85	2	44	202	47	199	3.96E-33	120	sp|Q9Z2Q5|RM40_MOUSE	43.3	157	83	2	47	197	44	200	7.27E-33	116
