scaffold	size	LG	start_position	end_position	id_source	peak_location_reanalysis	scaffold_type_reanalysis	peak_location_finemap	scaffold_type_finemap
Lko057S001954	403468	chr5	23030780	23434248	Reanalysis 	5@31	peak		
Lko057S005976	409674	chr5	23434348	23844022	Reanalysis 	5@31	peak		
Lko057S002445	518607	chr5	23844122	24362729	Reanalysis	5@31	peak		
Lko057S004683	62310	chr5	24362829	24425139	Reanalysis 	5@31	CI		
Lko057S002018	496697	chr5	24425239	24921936	Reanalysis 	5@31	CI		
Lko057S001129	1390122	chr5	24532778	25922900	Reanalysis 	5@31	CI		
Lko057S004383	300496	chr5	24922036	25222532	Reanalysis	5@31	CI		
Lko057S001451	211869	chr5	25222632	25434501	Reanalysis 	5@31	CI		
Lko057S001371	742400	chr5	25434601	26177001	Reanalysis + 4C.5 + 4C.9	5@31	CI	20.7; 26.4	CI; CI
Lko057S001239	1197186	chr5	26177101	27374287	Reanalysis + 4C.5	5@31	CI	20.7	CI
Lko057S001044	444585	chr5	27374387	27818972	Reanalysis + 4C.5	5@31	CI	20.7	CI
Lko057S006506	51921	chr5	27819072	27870993	Reanalysis + 4C.5 + 4C.9	5@31	CI	20.7; 26.4	CI; peak
Lko057S000353		chr5			4C.5 + 4C.9 + 4E.1	5@31	CI	26.4; 26.4; 26.4	peak; peak; peak
Lko057S000933	2003335	chr5	27871093	29874428	Reanalysis + 4C.5 + 4C.9 + 4E.1	5@31	CI	20.7; 26.4; 26.2	CI; CI; CI
Lko057S001839	1244094	chr5	29874528	31118622	Reanalysis + 4C.5	5@31	CI	20.7	peak
Lko057S001390	407614	chr5	31118722	31526336	Reanalysis + 4C.5	5@31	CI	20.7	CI
Lko057S000820	128875	chr5	31526436	31655311	Reanalysis + 4C.5	5@31	CI	20.7	CI
Lko057S003497	400452	chr5	31655411	32055863	Reanalysis + 4C.5 + 4C.9	5@31	CI	20.7; 26.4	CI; CI
Lko057S005519	670496	chr5	32055963	32726459	Reanalysis + 4C.5	5@31	CI	20.7	CI
Lko057S000305	705451	chr5	32726559	33432010	Reanalysis 	5@31	CI		
Lko057S000565	513508	chr5	33432110	33945618	Reanalysis 	5@31	CI		
Lko057S010487	48226	chr5	33945718	33993944	Reanalysis 	5@31	CI		
Lko057S004564	1006555	chr5	33994044	35000599	Reanalysis 	5@31	CI		
Lko057S000979	1278939	chr5	35000699	36279638	Reanalysis 	5@31	CI		
Lko057S005459	369391	chr5	37669960	38039351	Reanalysis 	5@31	CI		
Lko057S007764	316400	chr5	38039451	38355851	Reanalysis 	5@31	CI		
Lko057S000091	1304474	chr5	38355951	39660425	Reanalysis 	5@31	CI		
Lko057S000180	1237841	chr5	39660525	40898366	Reanalysis 	5@31	CI		
Lko057S000478	708437	chr5	40898466	41606903	Reanalysis 	5@31	CI		
Lko057S002429	754764	chr5	41607003	42361767	Reanalysis 	5@31	CI		
Lko057S002143	758935	chr5	41953747	42712682	Reanalysis 	5@31	CI		
Lko057S001185	1501025	chr7	21869094	23370119	Reanalysis	7@57	CI		
Lko057S003052	471710	chr7	21945779	22417489	Reanalysis 	7@57	CI		
Lko057S001907	606908	chr7	22417589	23024497	Reanalysis 	7@57	CI		
Lko057S001701	837172	chr7	23024597	23861769	Reanalysis 	7@57	CI		
Lko057S001018	1224531	chr7	23370219	24594750	Reanalysis 	7@57	CI		
Lko057S000712	2434269	chr7	23861869	26296138	Reanalysis 	7@57	CI		
Lko057S000450	1461371	chr7	26296238	27757609	Reanalysis 	7@57	CI		
Lko057S003450	398681	chr7	27757709	28156390	Reanalysis 	7@57	CI		
Lko057S000195	839037	chr7	30805561	31644598	Reanalysis 	7@57	CI		
Lko057S002652	494844	chr7	30882246	31377090	Reanalysis 	7@57	CI		
Lko057S002087	601058	chr7	31377190	31978248	Reanalysis	7@57	CI		
Lko057S003292	1010133	chr7	31644698	32654831	Reanalysis 	7@57	CI		
Lko057S003075	233418	chr7	31978348	32211766	Reanalysis	7@57	CI		
Lko057S008198	69299	chr7	32211866	32281165	Reanalysis	7@57	CI		
Lko057S002588	745127	chr7	32281265	33026392	Reanalysis 	7@57	CI		
Lko057S002441	916807	chr7	33026492	33943299	Reanalysis	7@57	CI		
Lko057S001071	548680	chr7	33943399	34492079	Reanalysis	7@57	CI		
Lko057S004702	78282	chr7	34492179	34570461	Reanalysis 	7@57	CI		
Lko057S004853	58170	chr7	34570561	34628731	Reanalysis 	7@57	CI		
Lko057S001865	917304	chr7	34628831	35546135	Reanalysis 	7@57	CI		
Lko057S003063	312185	chr7	35546235	35858420	Reanalysis 	7@57	CI		
Lko057S000137	1233652	chr7	35858520	37092172	Reanalysis 	7@57	CI		
Lko057S001606	416907	chr7	37849585	38266492	Reanalysis 	7@57	CI		
Lko057S004540	712501	chr7	38038270	38750771	Reanalysis 	7@57	CI		
Lko057S004909	1180700	chr7	38750871	39931571	Reanalysis 	7@57	peak		
Lko057S000677	1618068	chr7	39314481	40932549	Reanalysis	7@57	CI		
Lko057S010292	380152	chr7	39931671	40311823	Reanalysis 	7@57	CI		
Lko057S004823	83859	chr7	40311923	40395782	Reanalysis 	7@57	CI		
Lko057S001259	181068	chr7	40395882	40576950	Reanalysis 	7@57	CI		
Lko057S001600	253312	chr7	40577050	40830362	Reanalysis 	7@57	CI		
Lko057S000252	616063	chr7	40830462	41446525	Reanalysis 	7@57	CI		
Lko057S004976	338519	chr7	41446625	41785144	Reanalysis 	7@57	CI		
Lko057S004935	485839	chr7	41785244	42271083	Reanalysis 	7@57	CI		
Lko057S004220	1532843	chr7	42271183	43804026	Reanalysis 	7@57	CI		
Lko057S000648	2610233	chrX	33517397	36127630	Reanalysis 	X@41	CI		
Lko057S000765	227630	chrX	36127730	36355360	Reanalysis 	X@41	CI		
Lko057S001873	811639	chrX	36355460	37167099	Reanalysis 	X@41	CI		
Lko057S002033	846943	chrX	37167199	38014142	Reanalysis 	X@41	CI		
Lko057S000183	2283109	chrX	38014242	40297351	Reanalysis 	X@41	CI		
Lko057S000508	1302195	chrX	40297451	41599646	Reanalysis 	X@41	CI		
Lko057S002425	428777	chrX	41599746	42028523	Reanalysis 	X@41	CI		
Lko057S000504	536520	chrX	42028623	42565143	Reanalysis 	X@41	CI		
Lko057S000259	1611907	chrX	42565243	44177150	Reanalysis 	X@41	peak		
Lko057S001241	919230	chrX	44177250	45096480	Reanalysis 	X@41	peak		
Lko057S000211	366875	chrX	45096580	45463455	Reanalysis 	X@41	CI		
Lko057S000759	1885731	chrX	45463555	47349286	Reanalysis 	X@41	CI		
Lko057S003076	554539	chrX	47349386	47903925	Reanalysis 	X@41	CI		
Lko057S000893	1076130	chrX	47904025	48980155	Reanalysis 	X@41	CI		
Lko057S003084	1405700	chrX	48980255	50385955	Reanalysis 	X@41	CI		
