transcript	zeroOne	annot.x	pident.x	length.x	mismatch	gapopen.x	qstart.x	qend.x	sstart.x	send.x	evalue.x	bitscore.x	annot.y	pident.y	length.y	mismach	gapopen.y	qstart.y	qend.y	sstart.y	send.y	evalue.y	bitscore.y
TRINITY_GG_10025_c16_g1_i2.p1	1	sp|A9X4T1|CHD1_BOMMO	69.3	1309	343	14	278	1566	2	1271	0	1653	sp|A9X4T1|CHD1_BOMMO	69.5	1307	344	12	2	1271	278	1566	0	1657
TRINITY_GG_10027_c7_g1_i2.p1	1	sp|Q93105|INSR_AEDAE	45.9	1419	645	38	133	1480	17	1383	0	1090	sp|Q93105|INSR_AEDAE	46.4	1369	620	34	17	1334	133	1438	0	1081
TRINITY_GG_10028_c0_g1_i1.p1	1	sp|P32031|SLP2_DROME	56.7	245	74	6	13	229	52	292	1.63E-71	236	sp|P32031|SLP2_DROME	55.2	259	68	6	46	292	7	229	1.09E-70	230
TRINITY_GG_10037_c1_g1_i1.p1	1	sp|Q3V1G4|OLM2B_MOUSE	34.5	238	140	6	391	618	511	742	2.00E-31	134	sp|Q3V1G4|OLM2B_MOUSE	34.5	238	140	6	511	742	391	618	1.70E-32	133
TRINITY_GG_10038_c0_g1_i1.p1	1	sp|Q562C4|MET7B_RAT	27.4	208	134	5	56	260	51	244	2.40E-18	84.7	sp|Q562C4|MET7B_RAT	27.4	208	134	5	51	244	56	260	4.60E-18	80.1
TRINITY_GG_10045_c10_g1_i3.p1	1	sp|Q9NGC3|CEG1A_DROME	52.7	907	281	23	1	849	168	984	4.85E-276	795	sp|Q9NGC3|CEG1A_DROME	52.7	912	273	23	168	984	1	849	1.99E-278	798
TRINITY_GG_10048_c30_g1_i2.p1	1	sp|Q2KJG3|SYNC_BOVIN	70	556	167	0	3	558	4	559	1.37E-304	838	sp|Q2KJG3|SYNC_BOVIN	70	556	167	0	4	559	3	558	1.69E-305	842
TRINITY_GG_10048_c36_g1_i1.p1	1	sp|Q1LXC9|INT3_DANRE	45	1074	513	15	10	1074	13	1017	7.34E-288	833	sp|Q1LXC9|INT3_DANRE	45.8	994	475	13	13	951	10	994	2.98E-283	818
TRINITY_GG_10048_c38_g1_i2.p1	1	sp|Q14147|DHX34_HUMAN	50.2	462	218	3	1	451	383	843	1.17E-136	424	sp|Q14147|DHX34_HUMAN	50.2	462	218	3	383	843	1	451	8.63E-138	424
TRINITY_GG_10048_c39_g1_i14.p1	1	sp|Q7KZI7|MARK2_HUMAN	56.7	614	208	12	203	804	37	604	1.55E-199	590	sp|Q7KZI7|MARK2_HUMAN	54.9	652	231	14	31	635	197	832	1.71E-197	581
TRINITY_GG_10049_c7_g1_i2.p1	1	sp|Q9CZ62|CEP97_MOUSE	49.2	177	88	2	145	320	152	327	5.94E-42	169	sp|Q9CZ62|CEP97_MOUSE	29.2	530	304	15	152	628	145	656	7.29E-45	174
TRINITY_GG_10050_c1_g1_i2.p1	1	sp|Q9CRB3|HIUH_MOUSE	46.6	116	59	2	80	193	4	118	1.12E-29	108	sp|Q9CRB3|HIUH_MOUSE	46.6	116	59	2	4	118	80	193	7.94E-31	107
TRINITY_GG_10050_c2_g1_i1.p1	1	sp|O35942|NEK2_MOUSE	53.4	277	126	3	1	276	1	275	5.37E-88	282	sp|O35942|NEK2_MOUSE	53.4	277	126	3	1	275	1	276	8.46E-90	283
TRINITY_GG_10052_c0_g1_i4.p4	1	sp|Q969Q5|RAB24_HUMAN	70.3	111	32	1	3	113	5	114	2.52E-50	161	sp|Q969Q5|RAB24_HUMAN	70.3	111	32	1	5	114	3	113	2.51E-51	160
TRINITY_GG_10053_c14_g1_i1.p1	1	sp|Q9NAM7|PHYD1_CAEEL	46	291	150	5	81	367	1	288	4.09E-83	257	sp|Q9NAM7|PHYD1_CAEEL	46	291	150	5	1	288	81	367	5.41E-81	248
TRINITY_GG_10053_c16_g1_i8.p1	1	sp|Q9VL76|PEO1_DROME	50.1	579	245	10	100	663	47	596	1.50E-177	522	sp|Q9VL76|PEO1_DROME	50.1	579	245	10	47	596	100	663	3.57E-177	517
TRINITY_GG_10053_c16_g1_i8.p2	1	sp|Q9D3A8|CAPON_MOUSE	46.8	444	150	9	1	434	1	368	1.79E-94	298	sp|Q9D3A8|CAPON_MOUSE	46.8	444	150	9	1	368	1	434	7.99E-99	305
TRINITY_GG_10061_c0_g1_i1.p1	1	sp|Q9JLI8|SART3_MOUSE	37.6	900	436	14	3	843	128	960	2.54E-180	547	sp|Q9JLI8|SART3_MOUSE	38	888	451	14	127	960	2	843	2.48E-184	554
TRINITY_GG_10063_c8_g1_i2.p1	1	sp|P42787|CBPD_DROME	43.1	1187	621	16	31	1182	30	1197	0	974	sp|P42787|CBPD_DROME	43.1	1187	621	15	30	1197	31	1182	0	981
TRINITY_GG_10063_c8_g1_i2.p2	1	sp|Q9Y6N5|SQOR_HUMAN	49.4	425	208	5	38	462	31	448	5.64E-144	422	sp|Q9Y6N5|SQOR_HUMAN	49.4	425	208	5	31	448	38	462	1.81E-144	420
TRINITY_GG_10070_c21_g1_i1.p1	1	sp|Q9VBP3|TNKS_DROME	73.3	1204	259	12	40	1224	18	1178	0	1077	sp|Q9VBP3|TNKS_DROME	73.3	1204	259	12	18	1178	40	1224	0	1075
TRINITY_GG_10070_c23_g1_i2.p1	1	sp|A2VDL9|T184B_BOVIN	64.5	414	117	8	33	445	23	407	5.67E-171	488	sp|A2VDL9|T184B_BOVIN	66.2	399	106	7	38	407	47	445	4.55E-174	493
TRINITY_GG_10070_c24_g1_i1.p1	1	sp|Q9W770|SPON1_CHICK	35.1	757	385	26	37	768	40	715	1.08E-133	419	sp|Q9W770|SPON1_CHICK	35.1	757	385	26	40	715	37	768	5.08E-129	403
TRINITY_GG_10070_c25_g1_i1.p1	1	sp|Q9UNK0|STX8_HUMAN	37.1	105	66	0	22	126	128	232	1.07E-14	70.9	sp|Q9UNK0|STX8_HUMAN	37.1	105	66	0	128	232	22	126	1.53E-16	72.8
TRINITY_GG_10070_c26_g1_i1.p1	1	sp|P35502|ESTF_MYZPE	36.1	493	293	12	39	520	29	510	8.91E-91	293	sp|P35502|ESTF_MYZPE	36.1	493	293	12	29	510	39	520	1.32E-92	294
TRINITY_GG_10070_c28_g1_i5.p1	1	sp|Q2T9U5|REXO5_BOVIN	35	346	188	11	198	536	70	385	2.32E-45	177	sp|Q2T9U5|REXO5_BOVIN	35	346	188	11	70	385	198	536	3.49E-46	175
TRINITY_GG_10070_c30_g1_i3.p1	1	sp|Q3B7T1|EDRF1_HUMAN	38.6	603	284	16	1	580	317	856	4.44E-105	347	sp|Q3B7T1|EDRF1_HUMAN	38.7	608	277	16	317	856	1	580	3.45E-102	336
TRINITY_GG_10070_c30_g1_i3.p4	1	sp|Q9D113|DNLZ_MOUSE	65.9	91	27	2	76	165	64	151	7.96E-35	123	sp|Q9D113|DNLZ_MOUSE	64.2	95	30	2	64	155	76	169	1.19E-36	124
TRINITY_GG_10070_c32_g1_i1.p1	1	sp|Q01634|IDUA_CANLF	36.7	570	307	16	262	817	108	637	2.83E-88	296	sp|Q01634|IDUA_CANLF	36.8	571	305	15	108	637	262	817	4.60E-92	302
TRINITY_GG_10070_c34_g1_i2.p1	1	sp|Q9TTY3|SEC1_BOVIN	31.5	305	181	9	51	335	57	353	2.98E-39	145	sp|Q9TTY3|SEC1_BOVIN	31.5	305	181	9	57	353	51	335	1.97E-38	139
TRINITY_GG_1008_c8_g1_i1.p1	1	sp|P49354|FNTA_HUMAN	57.9	318	130	3	3	319	52	366	4.12E-65	214	sp|P49354|FNTA_HUMAN	57.9	318	130	3	52	366	3	319	3.21E-67	216
TRINITY_GG_1008_c9_g1_i1.p1	1	sp|Q5ZIL9|KBP_CHICK	41.7	595	311	11	14	593	13	586	2.15E-141	426	sp|Q5ZIL9|KBP_CHICK	41.5	595	312	10	13	586	14	593	8.80E-143	426
TRINITY_GG_10081_c2_g1_i2.p1	1	sp|Q0IG18|UFL1_AEDAE	42.1	796	436	13	1	793	1	774	8.96E-186	553	sp|Q0IG18|UFL1_AEDAE	42.1	795	435	13	1	773	1	792	1.27E-184	546
TRINITY_GG_10082_c0_g1_i14.p1	1	sp|Q3KR37|ASTRB_HUMAN	41.6	483	251	9	96	556	62	535	1.27E-109	356	sp|Q3KR37|ASTRB_HUMAN	41.9	463	239	8	78	531	111	552	1.34E-108	349
TRINITY_GG_10086_c6_g1_i1.p1	1	sp|P61406|EST1A_MOUSE	38.7	607	309	15	1091	1650	401	991	3.09E-94	339	sp|P61406|EST1A_MOUSE	38.8	608	307	15	401	991	1091	1650	1.95E-95	338
TRINITY_GG_10086_c7_g1_i1.p1	1	sp|Q9NYV6|RRN3_HUMAN	33.9	581	338	13	40	585	56	625	1.72E-97	313	sp|Q9NYV6|RRN3_HUMAN	33.9	581	338	13	56	625	40	585	3.27E-97	309
TRINITY_GG_10089_c2_g1_i1.p1	1	sp|Q9D8P4|RM17_MOUSE	47.3	131	67	2	29	158	21	150	8.38E-29	109	sp|Q9D8P4|RM17_MOUSE	47.7	132	66	3	21	151	29	158	6.67E-31	111
TRINITY_GG_10089_c4_g1_i1.p1	1	sp|Q6NT04|TIGD7_HUMAN	39.4	533	299	9	8	535	1	514	4.73E-120	367	sp|Q6NT04|TIGD7_HUMAN	41.1	504	275	8	6	492	13	511	1.38E-121	368
TRINITY_GG_10089_c4_g1_i1.p2	1	sp|Q9VTC2|BL1S4_DROME	31.9	160	99	3	3	152	5	164	4.78E-20	84.3	sp|Q9VTC2|BL1S4_DROME	32.9	155	94	3	5	159	3	147	7.76E-22	85.5
TRINITY_GG_10102_c22_g1_i1.p1	1	sp|Q92058|PPBT_CHICK	47	447	223	8	90	529	50	489	1.25E-113	353	sp|Q92058|PPBT_CHICK	47	447	223	8	50	489	90	529	7.12E-120	365
TRINITY_GG_10103_c0_g1_i1.p1	1	sp|P51692|STA5B_HUMAN	50.4	357	164	7	1	346	355	709	9.47E-106	332	sp|P51692|STA5B_HUMAN	50.4	357	164	7	355	709	1	346	5.16E-108	335
TRINITY_GG_10110_c3_g1_i3.p1	1	sp|A0A386JVA3|FPPS_NEZVI	55.1	376	154	6	51	419	36	403	2.94E-143	417	sp|A0A386JVA3|FPPS_NEZVI	55.2	375	153	6	36	402	51	418	2.03E-145	419
TRINITY_GG_10110_c4_g1_i3.p2	1	sp|Q9HCS5|E41LA_HUMAN	57.1	268	106	4	1	259	1	268	1.44E-99	308	sp|Q9HCS5|E41LA_HUMAN	58.4	262	99	4	12	273	11	262	2.55E-98	302
TRINITY_GG_10115_c0_g1_i1.p1	1	sp|P38166|SFT2_YEAST	41.1	146	80	3	64	208	75	215	1.86E-27	106	sp|P38166|SFT2_YEAST	43.7	135	70	3	75	204	64	197	6.58E-27	101
TRINITY_GG_10117_c1_g1_i2.p1	1	sp|Q8LFQ6|GRXC4_ARATH	51	98	48	0	17	114	28	125	3.79E-30	107	sp|Q8LFQ6|GRXC4_ARATH	51	98	48	0	28	125	17	114	5.13E-31	106
TRINITY_GG_10117_c3_g1_i1.p1	1	sp|B2RVL6|ZCH24_MOUSE	59.2	233	66	4	60	263	9	241	1.66E-92	276	sp|B2RVL6|ZCH24_MOUSE	59	234	67	4	8	241	59	263	4.54E-96	281
TRINITY_GG_10117_c4_g1_i2.p1	1	sp|Q9R1D7|GBF1_CRIGR	51.2	1846	675	34	6	1757	4	1718	0	1640	sp|Q9R1D7|GBF1_CRIGR	51.5	1838	678	32	6	1718	8	1757	0	1648
TRINITY_GG_10120_c3_g1_i3.p1	1	sp|Q24523|BUN2_DROME	55.7	192	56	7	51	236	259	427	2.91E-40	165	sp|Q24523|BUN2_DROME	55.7	192	56	7	259	427	51	236	4.08E-42	167
TRINITY_GG_10120_c3_g1_i3.p2	1	sp|P23645|BIB_DROME	45.2	356	162	7	1	325	133	486	1.32E-76	254	sp|P23645|BIB_DROME	45.5	354	160	7	135	486	3	325	1.48E-80	262
TRINITY_GG_10120_c3_g1_i3.p4	1	sp|Q24522|BUN1_DROME	73.6	87	23	0	16	102	29	115	1.74E-34	122	sp|Q24522|BUN1_DROME	73.6	87	23	0	29	115	16	102	7.29E-36	123
TRINITY_GG_10121_c3_g1_i1.p1	1	sp|Q4T2X8|NIP7_TETNG	62.8	180	67	0	4	183	1	180	1.89E-81	242	sp|Q4T2X8|NIP7_TETNG	62.8	180	67	0	1	180	4	183	4.60E-84	245
TRINITY_GG_10129_c0_g1_i1.p1	1	sp|Q6IVV8|PKD2_DANRE	26.4	296	194	9	392	681	235	512	9.36E-13	76.3	sp|Q6IVV8|PKD2_DANRE	24.8	419	269	12	235	625	392	792	1.72E-17	87
TRINITY_GG_10131_c1_g1_i1.p1	1	sp|Q8WXH4|ASB11_HUMAN	33.9	109	67	3	658	766	165	268	4.70E-07	56.2	sp|Q8WXH4|ASB11_HUMAN	33.9	109	67	3	165	268	658	766	2.42E-09	57.8
TRINITY_GG_10137_c10_g1_i2.p1	1	sp|Q9BQS2|SYT15_HUMAN	37.7	321	186	6	130	448	108	416	3.91E-65	218	sp|Q9BQS2|SYT15_HUMAN	37.6	322	187	6	107	416	129	448	1.29E-68	223
TRINITY_GG_10137_c8_g1_i1.p1	1	sp|Q9W3J8|DRC1_DROME	31.6	114	69	2	191	302	635	741	4.86E-07	55.1	sp|Q9W3J8|DRC1_DROME	31.6	114	69	2	635	741	191	302	4.48E-09	58.2
TRINITY_GG_10138_c8_g1_i1.p1	1	sp|Q9C0I4|THS7B_HUMAN	33.3	1290	698	33	298	1537	296	1473	1.55E-227	716	sp|Q9C0I4|THS7B_HUMAN	33.3	1286	704	32	296	1473	298	1537	1.32E-234	731
TRINITY_GG_10146_c5_g1_i3.p1	1	sp|P23687|PPCE_PIG	61.7	698	265	2	70	766	4	700	0	931	sp|P23687|PPCE_PIG	61.7	698	265	2	4	700	70	766	0	931
TRINITY_GG_10146_c6_g1_i34.p1	1	sp|Q24145|SHARK_DROME	37	781	295	14	1	589	1	776	1.02E-139	432	sp|Q24145|SHARK_DROME	37.4	781	292	17	1	776	1	589	2.02E-143	438
TRINITY_GG_10148_c9_g1_i2.p1	1	sp|Q9V498|CSTN1_DROME	43.2	939	427	23	37	913	42	936	1.57E-252	738	sp|Q9V498|CSTN1_DROME	43.2	933	436	21	42	936	37	913	8.19E-246	717
TRINITY_GG_10151_c0_g1_i1.p1	1	sp|A1ZAX0|CCH1R_DROME	54.6	271	105	5	1	268	141	396	4.41E-93	288	sp|A1ZAX0|CCH1R_DROME	54.8	270	104	5	142	396	2	268	1.40E-91	281
TRINITY_GG_10152_c22_g1_i1.p1	1	sp|Q96ER9|MITOK_HUMAN	37.9	203	120	3	43	239	67	269	3.62E-29	119	sp|Q96ER9|MITOK_HUMAN	37.9	203	120	3	67	269	43	239	9.27E-31	120
TRINITY_GG_10152_c36_g1_i1.p1	1	sp|P53568|CEBPG_MOUSE	68.3	63	20	0	41	103	66	128	8.33E-17	75.5	sp|P53568|CEBPG_MOUSE	68.3	63	20	0	66	128	41	103	9.30E-18	74.3
TRINITY_GG_10152_c37_g1_i5.p1	1	sp|Q70CQ4|UBP31_HUMAN	39.3	743	369	16	162	852	122	834	4.12E-156	496	sp|Q70CQ4|UBP31_HUMAN	40.3	703	341	15	122	794	162	815	1.39E-155	491
TRINITY_GG_10152_c39_g1_i1.p1	1	sp|O16118|GNAS_HOMAM	84.7	379	58	0	1	379	1	379	3.37E-242	665	sp|O16118|GNAS_HOMAM	84.7	379	58	0	1	379	1	379	1.61E-242	662
TRINITY_GG_10152_c40_g1_i6.p1	1	sp|Q9U6L4|TTY1_DROME	49.7	447	222	1	11	454	11	457	1.38E-137	424	sp|Q9U6L4|TTY1_DROME	49.7	447	222	1	11	457	11	454	5.01E-140	427
TRINITY_GG_10152_c41_g1_i1.p2	1	sp|O70260|PIAS3_RAT	52.2	450	184	6	1	449	1	420	7.36E-146	435	sp|O70260|PIAS3_RAT	49	504	210	9	1	458	1	503	8.15E-149	439
TRINITY_GG_10152_c41_g1_i1.p3	1	sp|Q6DF78|PDXD1_XENLA	45.8	297	141	2	101	395	72	350	6.39E-78	259	sp|Q6DF78|PDXD1_XENLA	45.8	297	141	2	72	350	101	395	1.31E-79	261
TRINITY_GG_10154_c14_g1_i2.p1	1	sp|Q7Z739|YTHD3_HUMAN	42.8	663	271	21	1	650	1	568	5.55E-100	322	sp|Q7Z739|YTHD3_HUMAN	41.2	660	286	18	1	568	1	650	8.14E-104	328
TRINITY_GG_10154_c16_g1_i1.p1	1	sp|Q9D3B1|HACD2_MOUSE	41.6	221	129	0	10	230	31	251	1.84E-57	186	sp|Q9D3B1|HACD2_MOUSE	41.6	221	129	0	29	249	8	228	2.03E-59	187
TRINITY_GG_10154_c17_g1_i2.p1	1	sp|Q8BG19|TMTC4_MOUSE	48.6	529	224	9	28	539	9	506	9.01E-146	448	sp|Q8BG19|TMTC4_MOUSE	48.1	528	228	7	9	506	28	539	4.55E-155	468
TRINITY_GG_10154_c18_g1_i1.p1	1	sp|Q9Y5P8|P2R3B_HUMAN	59.1	435	166	3	764	1197	94	517	1.89E-179	543	sp|Q9Y5P8|P2R3B_HUMAN	58.2	443	173	3	94	525	764	1205	1.12E-179	539
TRINITY_GG_10160_c2_g1_i1.p1	1	sp|Q5DTY9|KCD16_MOUSE	45.1	264	110	6	10	245	23	279	4.15E-64	208	sp|Q5DTY9|KCD16_MOUSE	45.5	264	109	5	23	279	10	245	7.49E-66	210
TRINITY_GG_10163_c9_g1_i1.p1	1	sp|Q9UPI3|FLVC2_HUMAN	40.7	425	249	2	28	449	72	496	3.60E-105	326	sp|Q9UPI3|FLVC2_HUMAN	40.6	426	250	2	72	497	28	450	4.68E-109	332
TRINITY_GG_10164_c1_g1_i2.p1	1	sp|Q9VHN6|RM19_DROME	64.8	250	86	1	49	296	54	303	2.42E-117	342	sp|Q9VHN6|RM19_DROME	64.8	250	86	1	54	303	49	296	3.35E-117	338
TRINITY_GG_10166_c5_g1_i3.p1	1	sp|O94762|RECQ5_HUMAN	53.2	410	184	5	56	458	14	422	5.63E-146	445	sp|O94762|RECQ5_HUMAN	53.2	410	184	5	14	422	56	458	5.20E-146	442
TRINITY_GG_10175_c2_g1_i1.p1	1	sp|Q9JLM4|ZMYM3_MOUSE	32.3	1095	580	39	966	1986	354	1361	3.63E-93	337	sp|Q9JLM4|ZMYM3_MOUSE	32.2	1098	577	37	354	1361	966	1986	5.73E-101	356
TRINITY_GG_10176_c1_g2_i2.p1	1	sp|Q3ZC48|DRAM2_BOVIN	37.1	194	111	4	2	192	66	251	1.42E-31	119	sp|Q3ZC48|DRAM2_BOVIN	37.1	194	111	4	66	251	2	192	7.73E-32	116
TRINITY_GG_10180_c7_g1_i1.p1	1	sp|B4G9L6|KRR1_DROPE	62	337	126	2	6	341	2	337	6.44E-150	429	sp|B4G9L6|KRR1_DROPE	62.2	336	125	2	2	336	6	340	2.38E-149	424
TRINITY_GG_10188_c22_g1_i3.p1	1	sp|Q9GKT2|FXDC2_MACFA	50.8	311	153	0	13	323	16	326	2.12E-118	347	sp|Q9GKT2|FXDC2_MACFA	50.8	311	153	0	16	326	13	323	1.32E-121	352
TRINITY_GG_10188_c26_g1_i5.p1	1	sp|Q499P8|RUSF1_RAT	39.3	443	237	9	21	462	48	459	3.91E-88	280	sp|Q499P8|RUSF1_RAT	39.3	443	237	9	48	459	21	462	1.61E-89	280
TRINITY_GG_10188_c26_g1_i5.p2	1	sp|Q6NW29|RWDD4_HUMAN	51.1	188	87	3	1	186	1	185	3.13E-54	174	sp|Q6NW29|RWDD4_HUMAN	51.1	188	87	3	1	185	1	186	4.30E-56	175
TRINITY_GG_10188_c27_g1_i1.p1	1	sp|Q08832|GBRB3_DROME	74.6	481	89	8	49	515	34	495	3.59E-237	663	sp|Q08832|GBRB3_DROME	74.5	482	90	7	34	496	49	516	8.54E-240	666
TRINITY_GG_10188_c28_g1_i3.p1	1	sp|P98999|ADCY9_XENLA	45.2	507	231	9	64	531	72	570	1.61E-114	380	sp|P98999|ADCY9_XENLA	45.6	507	229	11	72	570	64	531	2.26E-119	390
TRINITY_GG_10188_c28_g1_i3.p2	1	sp|P51830|ADCY9_MOUSE	40	615	314	14	10	612	676	1247	1.83E-121	394	sp|P51830|ADCY9_MOUSE	40.3	598	303	13	686	1241	20	605	1.18E-121	391
TRINITY_GG_10188_c29_g1_i1.p1	1	sp|P56470|LEG4_HUMAN	27.4	303	197	7	77	361	26	323	7.61E-25	106	sp|P56470|LEG4_HUMAN	26.8	313	186	7	26	323	77	361	1.06E-26	107
TRINITY_GG_10188_c30_g1_i2.p1	1	sp|Q6PI78|TMM65_HUMAN	51.9	135	64	1	22	155	105	239	5.03E-41	141	sp|Q6PI78|TMM65_HUMAN	51.9	135	64	1	105	239	22	155	4.90E-43	143
TRINITY_GG_10209_c1_g1_i1.p1	1	sp|Q9Z1M7|LARG1_MOUSE	70	677	187	4	42	704	68	742	0	985	sp|Q9Z1M7|LARG1_MOUSE	69.9	678	188	4	68	743	42	705	0	984
TRINITY_GG_10224_c2_g1_i1.p1	1	sp|Q8MSU3|FRRS1_DROME	41.6	654	332	17	6	631	11	642	3.33E-144	436	sp|Q8MSU3|FRRS1_DROME	41.8	656	328	18	11	642	6	631	8.70E-147	439
TRINITY_GG_10227_c1_g1_i1.p1	1	sp|A3KN33|EGFLA_BOVIN	39.5	674	366	7	244	912	380	1016	1.80E-161	502	sp|A3KN33|EGFLA_BOVIN	39.5	674	366	7	380	1016	244	912	6.80E-161	497
TRINITY_GG_10229_c1_g1_i2.p1	1	sp|Q90YI8|TAL1_TAKRU	77.6	67	15	0	148	214	204	270	1.18E-24	107	sp|Q90YI8|TAL1_TAKRU	77.6	67	15	0	204	270	148	214	2.11E-25	105
TRINITY_GG_10231_c10_g1_i10.p2	1	sp|Q960C5|LRCH_DROME	60	210	67	4	10	217	581	775	7.26E-69	228	sp|Q960C5|LRCH_DROME	60	210	67	4	581	775	10	217	1.45E-69	228
TRINITY_GG_10233_c3_g1_i1.p1	1	sp|B0WGM1|EFGM_CULQU	77.5	742	165	1	9	748	3	744	0	1164	sp|B0WGM1|EFGM_CULQU	77.1	750	164	3	1	744	1	748	0	1170
TRINITY_GG_10263_c3_g1_i1.p1	1	sp|Q64707|U2AFL_MOUSE	51.5	202	86	2	180	369	160	361	8.22E-66	220	sp|Q64707|U2AFL_MOUSE	51.5	202	86	2	160	361	180	369	1.48E-68	224
TRINITY_GG_10263_c4_g1_i2.p1	1	sp|Q91048|PTK7_CHICK	35.7	1108	635	27	25	1118	5	1049	3.56E-207	629	sp|Q91048|PTK7_CHICK	35.9	1101	629	27	5	1042	25	1111	1.50E-207	626
TRINITY_GG_10268_c0_g1_i2.p1	1	sp|P48596|GCH1_DROME	82.3	232	41	0	65	296	93	324	1.29E-132	382	sp|P48596|GCH1_DROME	82.3	232	41	0	93	324	65	296	5.48E-132	377
TRINITY_GG_10270_c11_g1_i1.p1	1	sp|Q9VED0|TAPT1_DROME	55.2	540	201	7	32	542	65	592	4.97E-190	553	sp|Q9VED0|TAPT1_DROME	51.6	597	244	8	79	660	43	609	3.98E-192	555
TRINITY_GG_10270_c8_g1_i1.p1	1	sp|Q5ZK33|LETM1_CHICK	44.7	660	312	10	78	693	73	723	1.14E-146	450	sp|Q5ZK33|LETM1_CHICK	44.9	662	308	12	73	723	78	693	1.07E-149	454
