Entry_Name,Gene_Ontology_IDs
ERCC8_MOUSE,GO:0000012; GO:0000109; GO:0000209; GO:0004842; GO:0005634; GO:0005737; GO:0006283; GO:0006974; GO:0006979; GO:0009411; GO:0010165; GO:0016363; GO:0031464; GO:0032991; GO:0043161; GO:0043204; GO:0044877; GO:0045739; GO:0051865; GO:0080008; GO:0090262; GO:0097680
SMC4_MOUSE,GO:0000012; GO:0000775; GO:0000794; GO:0000796; GO:0003682; GO:0003697; GO:0005524; GO:0005634; GO:0005829; GO:0007076; GO:0010032; GO:0016607; GO:0016887; GO:0045132; GO:0051301; GO:0051383; GO:0051984; GO:1905820; GO:1905821
XRCC1_HUMAN,GO:0000012; GO:0000781; GO:0000785; GO:0001666; GO:0005634; GO:0005654; GO:0005730; GO:0006284; GO:0006303; GO:0009410; GO:0010033; GO:0010836; GO:0019899; GO:0021587; GO:0021766; GO:0032356; GO:0033194; GO:0050882; GO:0061819; GO:0070522; GO:1903518; GO:1904877; GO:1905765; GO:1990414; GO:1990599
TRPC2_MOUSE,GO:0000012; GO:0002121; GO:0002124; GO:0003684; GO:0005634; GO:0005886; GO:0005887; GO:0006816; GO:0006828; GO:0007204; GO:0007338; GO:0007340; GO:0008050; GO:0010468; GO:0012505; GO:0015279; GO:0019236; GO:0019992; GO:0032590; GO:0034703; GO:0048047; GO:0051480; GO:0070588; GO:0070679; GO:1902436
XRCC1_CRIGR,GO:0000012; GO:0003684; GO:0005634; GO:0005730; GO:0006284; GO:0006303
TYDP1_DROME,GO:0000012; GO:0003690; GO:0003697; GO:0004527; GO:0005634; GO:0005737; GO:0006281; GO:0006302; GO:0007417; GO:0017005; GO:0045197
APTX_DANRE,GO:0000012; GO:0003697; GO:0003725; GO:0005634; GO:0005654; GO:0005730; GO:0006302; GO:0030983; GO:0033699; GO:0046872; GO:0120108; GO:1990165
XPF_DROME,GO:0000014; GO:0000110; GO:0000712; GO:0000724; GO:0003684; GO:0003697; GO:0006289; GO:0006296; GO:0006298; GO:0006302; GO:0006310; GO:0006974; GO:0007131; GO:0007143; GO:0016321; GO:0030716; GO:0032991; GO:0045132; GO:0046982; GO:1901255
XPF_DROME,GO:0000014; GO:0000110; GO:0000712; GO:0000724; GO:0003684; GO:0003697; GO:0006289; GO:0006296; GO:0006298; GO:0006302; GO:0006310; GO:0006974; GO:0007131; GO:0007143; GO:0016321; GO:0030716; GO:0032991; GO:0045132; GO:0046982; GO:1901255
XPF_DROME,GO:0000014; GO:0000110; GO:0000712; GO:0000724; GO:0003684; GO:0003697; GO:0006289; GO:0006296; GO:0006298; GO:0006302; GO:0006310; GO:0006974; GO:0007131; GO:0007143; GO:0016321; GO:0030716; GO:0032991; GO:0045132; GO:0046982; GO:1901255
PTBP1_RAT,GO:0000014; GO:0000381; GO:0000956; GO:0001069; GO:0003231; GO:0003697; GO:0003723; GO:0003729; GO:0005634; GO:0005737; GO:0006397; GO:0008380; GO:0010467; GO:0010976; GO:0022008; GO:0032024; GO:0033119; GO:0035307; GO:0036002; GO:0043484; GO:0043565; GO:0044306; GO:0045595; GO:0045665; GO:0045727; GO:0045944; GO:0048025; GO:0051148; GO:0070886; GO:0070935; GO:0075522; GO:1904411
SETMR_MOUSE,GO:0000014; GO:0000729; GO:0000737; GO:0000793; GO:0003677; GO:0003690; GO:0003697; GO:0004519; GO:0005634; GO:0005730; GO:0006303; GO:0006325; GO:0008270; GO:0008283; GO:0010452; GO:0015074; GO:0016571; GO:0031297; GO:0035861; GO:0042054; GO:0042800; GO:0042803; GO:0044547; GO:0044774; GO:0045892; GO:0046975; GO:0051568; GO:0090305; GO:0097676; GO:2000373; GO:2001034; GO:2001251
SETMR_HUMAN,GO:0000014; GO:0000729; GO:0000737; GO:0003677; GO:0003690; GO:0003697; GO:0004519; GO:0005634; GO:0005730; GO:0006303; GO:0006325; GO:0008270; GO:0008283; GO:0010452; GO:0015074; GO:0031297; GO:0035861; GO:0042800; GO:0042803; GO:0044547; GO:0044774; GO:0046975; GO:0051568; GO:0090305; GO:0097676; GO:2000373; GO:2001034; GO:2001251
SETMR_HUMAN,GO:0000014; GO:0000729; GO:0000737; GO:0003677; GO:0003690; GO:0003697; GO:0004519; GO:0005634; GO:0005730; GO:0006303; GO:0006325; GO:0008270; GO:0008283; GO:0010452; GO:0015074; GO:0031297; GO:0035861; GO:0042800; GO:0042803; GO:0044547; GO:0044774; GO:0046975; GO:0051568; GO:0090305; GO:0097676; GO:2000373; GO:2001034; GO:2001251
SETMR_HUMAN,GO:0000014; GO:0000729; GO:0000737; GO:0003677; GO:0003690; GO:0003697; GO:0004519; GO:0005634; GO:0005730; GO:0006303; GO:0006325; GO:0008270; GO:0008283; GO:0010452; GO:0015074; GO:0031297; GO:0035861; GO:0042800; GO:0042803; GO:0044547; GO:0044774; GO:0046975; GO:0051568; GO:0090305; GO:0097676; GO:2000373; GO:2001034; GO:2001251
SETMR_HUMAN,GO:0000014; GO:0000729; GO:0000737; GO:0003677; GO:0003690; GO:0003697; GO:0004519; GO:0005634; GO:0005730; GO:0006303; GO:0006325; GO:0008270; GO:0008283; GO:0010452; GO:0015074; GO:0031297; GO:0035861; GO:0042800; GO:0042803; GO:0044547; GO:0044774; GO:0046975; GO:0051568; GO:0090305; GO:0097676; GO:2000373; GO:2001034; GO:2001251
SETMR_HUMAN,GO:0000014; GO:0000729; GO:0000737; GO:0003677; GO:0003690; GO:0003697; GO:0004519; GO:0005634; GO:0005730; GO:0006303; GO:0006325; GO:0008270; GO:0008283; GO:0010452; GO:0015074; GO:0031297; GO:0035861; GO:0042800; GO:0042803; GO:0044547; GO:0044774; GO:0046975; GO:0051568; GO:0090305; GO:0097676; GO:2000373; GO:2001034; GO:2001251
SETMR_HUMAN,GO:0000014; GO:0000729; GO:0000737; GO:0003677; GO:0003690; GO:0003697; GO:0004519; GO:0005634; GO:0005730; GO:0006303; GO:0006325; GO:0008270; GO:0008283; GO:0010452; GO:0015074; GO:0031297; GO:0035861; GO:0042800; GO:0042803; GO:0044547; GO:0044774; GO:0046975; GO:0051568; GO:0090305; GO:0097676; GO:2000373; GO:2001034; GO:2001251
SETMR_HUMAN,GO:0000014; GO:0000729; GO:0000737; GO:0003677; GO:0003690; GO:0003697; GO:0004519; GO:0005634; GO:0005730; GO:0006303; GO:0006325; GO:0008270; GO:0008283; GO:0010452; GO:0015074; GO:0031297; GO:0035861; GO:0042800; GO:0042803; GO:0044547; GO:0044774; GO:0046975; GO:0051568; GO:0090305; GO:0097676; GO:2000373; GO:2001034; GO:2001251
NUCG_CAEEL,GO:0000014; GO:0000737; GO:0004519; GO:0004520; GO:0004521; GO:0005634; GO:0005739; GO:0005743; GO:0006309; GO:0006401; GO:0042803; GO:0043565; GO:0046872; GO:1990238
DCR1C_HUMAN,GO:0000014; GO:0002250; GO:0003684; GO:0004519; GO:0005654; GO:0005794; GO:0006303; GO:0008409; GO:0010212; GO:0030183; GO:0031848; GO:0033151; GO:0035312; GO:0036297; GO:0070419
ENO_DROME,GO:0000015; GO:0000287; GO:0004634; GO:0005737; GO:0005886; GO:0006096; GO:0042593; GO:0061621
IMA1_HUMAN,GO:0000018; GO:0000139; GO:0003723; GO:0005634; GO:0005654; GO:0005737; GO:0005789; GO:0005829; GO:0006259; GO:0006607; GO:0008139; GO:0016020; GO:0042564; GO:0042826; GO:0043657; GO:0061608; GO:0075506; GO:0098892; GO:0098978; GO:0099527; GO:1903902
THOC1_HUMAN,GO:0000018; GO:0000346; GO:0000347; GO:0000445; GO:0003677; GO:0003723; GO:0005634; GO:0005654; GO:0005737; GO:0006396; GO:0006397; GO:0006406; GO:0006915; GO:0007165; GO:0008380; GO:0016363; GO:0016607; GO:0031297; GO:0032784; GO:0032786; GO:0046784; GO:0048297; GO:2000002
RAD50_HUMAN,GO:0000019; GO:0000722; GO:0000723; GO:0000729; GO:0000781; GO:0000794; GO:0003677; GO:0003691; GO:0005524; GO:0005634; GO:0005654; GO:0006281; GO:0006302; GO:0006310; GO:0006974; GO:0007004; GO:0007131; GO:0016020; GO:0016887; GO:0030674; GO:0030870; GO:0031860; GO:0031954; GO:0032206; GO:0032508; GO:0033674; GO:0035825; GO:0035861; GO:0042802; GO:0043047; GO:0044818; GO:0046872; GO:0051880; GO:0070192; GO:0070533; GO:0090305; GO:0098687; GO:0110025; GO:0140664; GO:1904354
TPR_DROME,GO:0000022; GO:0000122; GO:0000775; GO:0000791; GO:0005634; GO:0005635; GO:0005643; GO:0005652; GO:0005654; GO:0005730; GO:0005737; GO:0005819; GO:0006325; GO:0006338; GO:0006355; GO:0006406; GO:0006606; GO:0007094; GO:0007346; GO:0007549; GO:0009408; GO:0010965; GO:0016363; GO:0017056; GO:0030496; GO:0031490; GO:0031965; GO:0034399; GO:0034976; GO:0035035; GO:0042405; GO:0043021; GO:0045840; GO:0045944; GO:0048133; GO:0051225; GO:0051233; GO:0051781; GO:0060236; GO:0060250; GO:0070090; GO:0072686; GO:0090235; GO:0090267; GO:0090316; GO:1901673; GO:1990047
MSPS_DROME,GO:0000022; GO:0000132; GO:0000278; GO:0000776; GO:0000922; GO:0005737; GO:0005813; GO:0005819; GO:0007029; GO:0007052; GO:0007143; GO:0007344; GO:0007411; GO:0008017; GO:0015631; GO:0016325; GO:0030951; GO:0031122; GO:0035371; GO:0045196; GO:0045450; GO:0046785; GO:0048477; GO:0051010; GO:0051298; GO:0061863; GO:0090063
KLP2_SCHPO,GO:0000022; GO:0000235; GO:0000742; GO:0000776; GO:0001578; GO:0003777; GO:0005524; GO:0005634; GO:0005815; GO:0005871; GO:0005872; GO:0005874; GO:0005881; GO:0007018; GO:0008017; GO:0008569; GO:0008574; GO:0015630; GO:0016887; GO:0030951; GO:0031122; GO:0031534; GO:0031535; GO:0035371; GO:0036449; GO:0051012; GO:0051256; GO:0055028; GO:0072686; GO:0090307; GO:0090561; GO:0140641; GO:0140642; GO:1990571; GO:1990810; GO:1990942
SPAST_DROER,GO:0000022; GO:0005524; GO:0005694; GO:0005811; GO:0005813; GO:0005819; GO:0005874; GO:0007026; GO:0007079; GO:0007399; GO:0008017; GO:0008021; GO:0008344; GO:0008568; GO:0016021; GO:0016853; GO:0016887; GO:0030154; GO:0031117; GO:0031594; GO:0034214; GO:0035099; GO:0043195; GO:0045834; GO:0045886; GO:0045887; GO:0048691; GO:0050775; GO:0051013; GO:0051301; GO:1900074; GO:1900075; GO:2000331
PIGB_DANRE,GO:0000026; GO:0000030; GO:0004376; GO:0005789; GO:0006506; GO:0016021
PIGZ_DROME,GO:0000026; GO:0000030; GO:0005783; GO:0005789; GO:0006506; GO:0016021
PIGZ_DROME,GO:0000026; GO:0000030; GO:0005783; GO:0005789; GO:0006506; GO:0016021
ALG9_MOUSE,GO:0000026; GO:0000030; GO:0005789; GO:0006487; GO:0016021; GO:0052918; GO:0052926
RL6_RAT,GO:0000027; GO:0000049; GO:0002181; GO:0003723; GO:0003729; GO:0003735; GO:0005634; GO:0005791; GO:0014069; GO:0022625; GO:0022626; GO:0031672; GO:0036464; GO:0042788; GO:0045202; GO:1990932
RRS1_MOUSE,GO:0000027; GO:0000055; GO:0000447; GO:0000794; GO:0002244; GO:0005654; GO:0005730; GO:0005783; GO:0007080; GO:0008097; GO:0030687; GO:0042273; GO:1901796; GO:1902570
NOP53_MOUSE,GO:0000027; GO:0000122; GO:0001650; GO:0001932; GO:0002039; GO:0005654; GO:0005730; GO:0005829; GO:0006281; GO:0006364; GO:0006974; GO:0007095; GO:0008097; GO:0014067; GO:0031333; GO:0032435; GO:0032436; GO:0033553; GO:0039535; GO:0042802; GO:0042981; GO:0043231; GO:0050821; GO:0051726; GO:0051898; GO:0071456; GO:1901796; GO:1901797; GO:1901837; GO:1902570; GO:1903006; GO:1903715; GO:1990173
RLA0_DROME,GO:0000027; GO:0000287; GO:0002181; GO:0003735; GO:0003906; GO:0004519; GO:0005509; GO:0005654; GO:0005829; GO:0005840; GO:0006284; GO:0016363; GO:0022625; GO:0022626; GO:0052720; GO:0070180; GO:0090305
RPF2_HUMAN,GO:0000027; GO:0000463; GO:0003723; GO:0005654; GO:0005694; GO:0005730; GO:0008097; GO:0019843; GO:0042273; GO:1901796; GO:1902570
NOP2_MOUSE,GO:0000027; GO:0000470; GO:0001510; GO:0001825; GO:0003723; GO:0005730; GO:0008284; GO:0009383; GO:0070475; GO:1901796
MRT4_HUMAN,GO:0000027; GO:0000956; GO:0003723; GO:0005730; GO:0005737; GO:0006364; GO:0030687; GO:0042273
SSF1_MOUSE,GO:0000027; GO:0001560; GO:0005634; GO:0005730; GO:0006364; GO:0019843; GO:0030687
BRX1_DROME,GO:0000027; GO:0003723; GO:0005730; GO:0006364; GO:0019843
RL23A_BOVIN,GO:0000027; GO:0003735; GO:0005634; GO:0006412; GO:0019843; GO:0022625; GO:1904841
MDN1_HUMAN,GO:0000027; GO:0005524; GO:0005634; GO:0005654; GO:0005730; GO:0005829; GO:0006364; GO:0016020; GO:0016887; GO:0030687; GO:0045111; GO:2000200
MDN1_HUMAN,GO:0000027; GO:0005524; GO:0005634; GO:0005654; GO:0005730; GO:0005829; GO:0006364; GO:0016020; GO:0016887; GO:0030687; GO:0045111; GO:2000200
RS14A_DROME,GO:0000028; GO:0000462; GO:0002181; GO:0003735; GO:0006412; GO:0022626; GO:0022627; GO:0048027; GO:0070181
PWP2_HUMAN,GO:0000028; GO:0000462; GO:0003723; GO:0005654; GO:0032040; GO:0034388
RS30_HUMAN,GO:0000028; GO:0002181; GO:0002227; GO:0003723; GO:0003735; GO:0005615; GO:0005634; GO:0005654; GO:0005737; GO:0005829; GO:0006412; GO:0015935; GO:0019731; GO:0022626; GO:0022627; GO:0050830; GO:0061844
RS27_BOVIN,GO:0000028; GO:0003723; GO:0003735; GO:0006364; GO:0006412; GO:0022627; GO:0046872
RS19_BOVIN,GO:0000028; GO:0003723; GO:0003735; GO:0006412; GO:0022627
RT07_DROME,GO:0000028; GO:0003729; GO:0003735; GO:0005763; GO:0005840; GO:0006412; GO:0019843; GO:0032543
RS5_BOVIN,GO:0000028; GO:0003729; GO:0003735; GO:0005840; GO:0006412; GO:0006450; GO:0019843; GO:0022627
RSSA_DIACI,GO:0000028; GO:0003735; GO:0006412; GO:0022627
ERAL1_BOVIN,GO:0000028; GO:0005525; GO:0005743; GO:0005759; GO:0005829; GO:0019843; GO:0043024
TMTC1_MOUSE,GO:0000030; GO:0004169; GO:0005739; GO:0005783; GO:0006396; GO:0016021; GO:0035269
TMTC1_MOUSE,GO:0000030; GO:0004169; GO:0005739; GO:0005783; GO:0006396; GO:0016021; GO:0035269
TMTC2_MOUSE,GO:0000030; GO:0004169; GO:0005783; GO:0005789; GO:0016021; GO:0035269; GO:0055074
TMTC1_HUMAN,GO:0000030; GO:0004169; GO:0005783; GO:0006396; GO:0016021; GO:0035269
TMTC4_MOUSE,GO:0000030; GO:0004169; GO:0005783; GO:0007605; GO:0016021; GO:0030968; GO:0032470; GO:0035269; GO:0051117; GO:1905584
TMTC3_MOUSE,GO:0000030; GO:0004169; GO:0005783; GO:0009791; GO:0010468; GO:0016021; GO:0030154; GO:0030324; GO:0034976; GO:0035269; GO:0048286; GO:0055001; GO:0060447; GO:1901800
TMTC3_DROME,GO:0000030; GO:0004169; GO:0005783; GO:0016021; GO:0035269
TMTC2_DROME,GO:0000030; GO:0004169; GO:0005789; GO:0016021; GO:0035269
PIGM_CHICK,GO:0000030; GO:0004376; GO:0005789; GO:0006506; GO:0016021; GO:0051751; GO:1990529
D19L1_HUMAN,GO:0000030; GO:0005637; GO:0016020; GO:0016021; GO:0018406
D19L1_MOUSE,GO:0000030; GO:0005637; GO:0016021; GO:0018406
NT56_DROVI,GO:0000030; GO:0005789; GO:0010804; GO:0016021
GMPPB_DROME,GO:0000032; GO:0004475; GO:0005525; GO:0005737; GO:0006486; GO:0009298; GO:0016779; GO:0035167
ALG2_HUMAN,GO:0000033; GO:0004378; GO:0005634; GO:0005737; GO:0005789; GO:0006486; GO:0006488; GO:0006490; GO:0016020; GO:0016021; GO:0046982; GO:0047485; GO:0048306; GO:0048471; GO:0051592; GO:0102704
ALG8_HUMAN,GO:0000033; GO:0004583; GO:0005789; GO:0006487; GO:0006488; GO:0006490; GO:0016021; GO:0018279; GO:0042283
ALG8_MOUSE,GO:0000033; GO:0005789; GO:0006487; GO:0006490; GO:0016021; GO:0018279; GO:0042283
ACPM_DROME,GO:0000035; GO:0000036; GO:0005739; GO:0005747; GO:0009249; GO:0032981
ACSL6_MOUSE,GO:0000038; GO:0001676; GO:0004467; GO:0005524; GO:0005634; GO:0005739; GO:0005741; GO:0005778; GO:0005783; GO:0005789; GO:0007405; GO:0008610; GO:0008654; GO:0010747; GO:0010976; GO:0015908; GO:0016020; GO:0016021; GO:0019432; GO:0019899; GO:0035338; GO:0042803; GO:0047676
PEX5_BOVIN,GO:0000038; GO:0001764; GO:0005052; GO:0005739; GO:0005777; GO:0005778; GO:0005782; GO:0005794; GO:0005829; GO:0006625; GO:0006635; GO:0007006; GO:0007029; GO:0008022; GO:0016560; GO:0016561; GO:0021795; GO:0021895; GO:0031267; GO:0031333; GO:0032991; GO:0033328; GO:0040018; GO:0045046; GO:0047485; GO:0048468; GO:0050905; GO:0051262; GO:0140311
DHB4_RAT,GO:0000038; GO:0003857; GO:0004300; GO:0004303; GO:0005777; GO:0006635; GO:0007568; GO:0008203; GO:0008209; GO:0008210; GO:0009410; GO:0014070; GO:0016508; GO:0016853; GO:0018812; GO:0030283; GO:0033989; GO:0036111; GO:0036112; GO:0042802; GO:0042803; GO:0044594; GO:0048545; GO:0060009; GO:0071407; GO:0106386
ABCD3_HUMAN,GO:0000038; GO:0005324; GO:0005524; GO:0005739; GO:0005777; GO:0005778; GO:0005782; GO:0005829; GO:0006633; GO:0006635; GO:0006699; GO:0007031; GO:0009410; GO:0014070; GO:0015721; GO:0015910; GO:0016020; GO:0016021; GO:0016887; GO:0042626; GO:0042760; GO:0042803; GO:0043231; GO:0043621; GO:0047617; GO:0140359; GO:1903512
ABCD2_HUMAN,GO:0000038; GO:0005324; GO:0005524; GO:0005777; GO:0005778; GO:0005829; GO:0006635; GO:0007031; GO:0009617; GO:0015910; GO:0016021; GO:0016887; GO:0032000; GO:0042626; GO:0042760; GO:0042803; GO:0043217; GO:0046982; GO:0047617; GO:0140359; GO:1900016; GO:1903427; GO:1990535; GO:2001280
MVL_DROME,GO:0000041; GO:0005375; GO:0005381; GO:0005384; GO:0005768; GO:0005886; GO:0005887; GO:0010042; GO:0015086; GO:0015293; GO:0015677; GO:0016020; GO:0016324; GO:0030001; GO:0034755; GO:0034761; GO:0046718; GO:0050916; GO:0055070; GO:0055071; GO:0055072; GO:0055076
NSF1C_BOVIN,GO:0000045; GO:0000132; GO:0005634; GO:0005694; GO:0005795; GO:0005815; GO:0005829; GO:0007030; GO:0008289; GO:0031468; GO:0043130; GO:0043161; GO:0046604; GO:0061025; GO:1904780
GBRAP_BOVIN,GO:0000045; GO:0000139; GO:0000226; GO:0000421; GO:0000422; GO:0005764; GO:0005776; GO:0005790; GO:0005829; GO:0005874; GO:0005875; GO:0005886; GO:0005930; GO:0006995; GO:0008017; GO:0008625; GO:0015031; GO:0015629; GO:0016236; GO:0031410; GO:0031625; GO:0032436; GO:0035020; GO:0048487; GO:0050811; GO:0097225; GO:1902524
ATG9A_BOVIN,GO:0000045; GO:0000139; GO:0000407; GO:0000421; GO:0000422; GO:0005739; GO:0005776; GO:0005789; GO:0005794; GO:0005802; GO:0010940; GO:0016021; GO:0017128; GO:0031902; GO:0031966; GO:0034045; GO:0034497; GO:0044805; GO:0055038; GO:0060349
RB33B_CHICK,GO:0000045; GO:0000139; GO:0003924; GO:0005525; GO:0005768; GO:0005794; GO:0005796; GO:0006891; GO:0015031; GO:0017157; GO:0032482; GO:0034067; GO:0048705; GO:1903358; GO:1903434; GO:2000156
ATG3_BOVIN,GO:0000045; GO:0000153; GO:0000422; GO:0005829; GO:0015031; GO:0016567; GO:0019776; GO:0019777; GO:0019899; GO:0043653; GO:0044804; GO:0050765; GO:1902017
AMRA1_HUMAN,GO:0000045; GO:0000209; GO:0000422; GO:0000423; GO:0005634; GO:0005737; GO:0005739; GO:0005741; GO:0005776; GO:0005783; GO:0005829; GO:0005856; GO:0005925; GO:0005930; GO:0006357; GO:0006914; GO:0007049; GO:0008285; GO:0009267; GO:0010508; GO:0010667; GO:0019903; GO:0021915; GO:0030154; GO:0031625; GO:0035307; GO:0043231; GO:0043524; GO:0043552; GO:0045335; GO:0045591; GO:0048471; GO:0051020; GO:0080008; GO:0098780; GO:1901526; GO:1904544; GO:1990756; GO:2000045
AMR1B_DANRE,GO:0000045; GO:0000209; GO:0005634; GO:0005739; GO:0005776; GO:0005783; GO:0005829; GO:0005856; GO:0005925; GO:0006914; GO:0007049; GO:0007626; GO:0031410; GO:0035307; GO:0043009; GO:0043231; GO:0045591; GO:0048741; GO:0080008; GO:1901526; GO:1904544; GO:1990756; GO:2000045
ATGA1_XENTR,GO:0000045; GO:0000407
RBCC1_HUMAN,GO:0000045; GO:0000407; GO:0000421; GO:0000422; GO:0001889; GO:0001934; GO:0005764; GO:0005789; GO:0005829; GO:0006468; GO:0006914; GO:0007049; GO:0007507; GO:0008285; GO:0010508; GO:0019898; GO:0019901; GO:0030242; GO:0031965; GO:0034045; GO:0034727; GO:0045793; GO:0046330; GO:0046777; GO:0060090; GO:0061709; GO:0061723; GO:0097191; GO:1903059; GO:1990316; GO:2001237
VMP1_PONAB,GO:0000045; GO:0000407; GO:0000421; GO:0005730; GO:0005783; GO:0005789; GO:0005886; GO:0006914; GO:0007566; GO:0016021; GO:0016240; GO:0017128; GO:0033116; GO:0034329; GO:0042953; GO:0098609; GO:0140056; GO:1901896; GO:1990456
ATG7_HUMAN,GO:0000045; GO:0000407; GO:0000422; GO:0005576; GO:0005737; GO:0005829; GO:0005930; GO:0006497; GO:0006501; GO:0006914; GO:0006995; GO:0009267; GO:0015031; GO:0016236; GO:0019778; GO:0019779; GO:0031401; GO:0032446; GO:0034727; GO:0034774; GO:0039521; GO:0042752; GO:0042803; GO:0043065; GO:0044805; GO:0045732; GO:0048511; GO:0051607; GO:0071455; GO:1904813
WIPI3_CHICK,GO:0000045; GO:0000407; GO:0000422; GO:0005764; GO:0005829; GO:0006497; GO:0009267; GO:0019898; GO:0032266; GO:0034045; GO:0034497; GO:0044804; GO:0080025
ATG2B_HUMAN,GO:0000045; GO:0000407; GO:0000422; GO:0005789; GO:0005811; GO:0019898; GO:0032266; GO:0034045; GO:0034727; GO:0044805; GO:0061709; GO:0120013
WIPI4_DANRE,GO:0000045; GO:0000407; GO:0000422; GO:0005829; GO:0006497; GO:0009267; GO:0019898; GO:0032266; GO:0034045; GO:0034497; GO:0044804; GO:0080025; GO:1901981; GO:2000786
